Part Number,Price,Flash,Pin Count,MHz,CPU,Max I/O Pins,Ext Interrupts,USB,Quadrature Decoder,USB Speed,USB Interface,SPI,I2C,UART,CAN,LIN,SSC,Ethernet,SD / eMMC,ADC,ADC Resolution,ADC Speed,Analog Comparators,DAC,DAC Resolution,Temp. Sensor,SRAM,External Bus Interface,NAND Interface,Operating Voltage,FPU,MPU,MMU,Timers,Output Compare,Input Capture,PWM,RTC,Calibrated RC Oscillator,Watchdog,Packages
ATSAM3A4C,8.82,256,100,84,Cortex-M3,63,63,1,2,High,"Host, Device",4,2,4,2,3,1,,1,16,12,1000,,2,12,Yes,64,,,1.62 to 3.6,,Yes,,9,18,6,4,Yes,Yes,,
ATSAM3A8C,10.45,512,100,84,Cortex-M3,63,63,1,2,High,"Host, Device",4,2,4,2,3,1,,1,16,12,1000,,2,12,Yes,96,,,1.62 to 3.6,,Yes,,9,18,6,4,Yes,Yes,,
ATSAM3N00A,2.77,16,48,48,Cortex-M3,34,34,,1,,,2,2,3,,,,,,8,10,384,,,,,4,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,
ATSAM3N00B,2.92,16,64,48,Cortex-M3,47,47,,1,,,3,2,4,,,,,,10,10,384,,1,10,,4,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,
ATSAM3N0A,2.86,32,48,48,Cortex-M3,34,34,,1,,,2,2,3,,,,,,8,10,384,,,,,8,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,
ATSAM3N0B,3.01,32,64,48,Cortex-M3,47,47,,1,,,3,2,4,,,,,,10,10,384,,1,10,,8,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,
ATSAM3N0C,3.19,32,100,48,Cortex-M3,79,79,,2,,,3,2,4,,,,,,16,10,384,,1,10,,8,,,1.62 to 3.6,,,,6,18,12,4,Yes,Yes,,
ATSAM3N1A,,64,48,48,Cortex-M3,34,34,,1,,,2,2,3,,,,,,8,10,384,,,,,8,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,QFN R-QFN048_E 48
ATSAM3N1B,,64,64,48,Cortex-M3,47,47,,1,,,3,2,4,,,,,,10,10,384,,1,10,,8,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,"LQFP R-LQ064_E 64,QFN R-QFN064_B 64"
ATSAM3N1C,,64,100,48,Cortex-M3,79,79,,2,,,3,2,4,,,,,,16,10,384,,1,10,,8,,,1.62 to 3.6,,,,6,18,12,4,Yes,Yes,,"LQFP R-LQ100_M 100,TFBGA R-TFBGA100_S 100"
ATSAM3N2A,,128,48,48,Cortex-M3,34,34,,1,,,2,2,3,,,,,,8,10,384,,,,,16,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,QFN R-QFN048_E 48
ATSAM3N2B,,128,64,48,Cortex-M3,47,47,,1,,,3,2,4,,,,,,10,10,384,,1,10,,16,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,"LQFP R-LQ064_E 64,QFN R-QFN064_B 64"
ATSAM3N2C,,128,100,48,Cortex-M3,79,79,,2,,,3,2,4,,,,,,16,10,384,,1,10,,16,,,1.62 to 3.6,,,,6,18,12,4,Yes,Yes,,"LQFP R-LQ100_M 100,TFBGA R-TFBGA100_S 100"
ATSAM3N4A,,256,48,48,Cortex-M3,34,34,,1,,,2,2,3,,,,,,8,10,384,,,,,24,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,QFN R-QFN048_E 48
ATSAM3N4B,6.13,256,64,48,Cortex-M3,47,47,,1,,,3,2,4,,,,,,10,10,384,,1,10,,24,,,1.62 to 3.6,,,,6,9,6,4,Yes,Yes,,"LQFP R-LQ064_E 64,QFN R-QFN064_B 64"
